Day,Mean,Site ID,Name,Basin
2022-12-16,2.9303749999999997,401204,Tallandoon ,Upper Murray River Basin
2022-12-17,2.7747083333333333,401204,Tallandoon ,Upper Murray River Basin
2022-12-18,2.600375,401204,Tallandoon ,Upper Murray River Basin
2022-12-19,2.4206666666666665,401204,Tallandoon ,Upper Murray River Basin
2022-12-20,2.23525,401204,Tallandoon ,Upper Murray River Basin
2022-12-21,2.202875,401204,Tallandoon ,Upper Murray River Basin
2022-12-22,2.1919166666666667,401204,Tallandoon ,Upper Murray River Basin
2022-12-23,2.187708333333333,401204,Tallandoon ,Upper Murray River Basin
2022-12-24,2.172125,401204,Tallandoon ,Upper Murray River Basin
2022-12-25,2.0715416666666666,401204,Tallandoon ,Upper Murray River Basin
2022-12-26,2.0533333333333332,401204,Tallandoon ,Upper Murray River Basin
2022-12-27,2.053,401204,Tallandoon ,Upper Murray River Basin
2022-10-01,3.1162083333333332,401201,Jingellic ,Upper Murray River Basin
2022-10-02,3.0095833333333335,401201,Jingellic ,Upper Murray River Basin
2022-10-03,2.9789166666666667,401201,Jingellic ,Upper Murray River Basin
2022-10-04,2.9419166666666663,401201,Jingellic ,Upper Murray River Basin
2022-10-05,2.924375,401201,Jingellic ,Upper Murray River Basin
2022-10-06,2.736166666666667,401201,Jingellic ,Upper Murray River Basin
2022-10-07,3.017708333333333,401201,Jingellic ,Upper Murray River Basin
2022-10-08,3.3814583333333332,401201,Jingellic ,Upper Murray River Basin
2022-10-09,3.5585,401201,Jingellic ,Upper Murray River Basin
2022-10-10,3.3269583333333332,401201,Jingellic ,Upper Murray River Basin
2022-10-11,3.0265,401201,Jingellic ,Upper Murray River Basin
2022-10-12,2.849083333333333,401201,Jingellic ,Upper Murray River Basin
2022-10-13,2.6396666666666664,401201,Jingellic ,Upper Murray River Basin
2022-10-14,2.9712083333333332,401201,Jingellic ,Upper Murray River Basin
2022-10-15,3.329333333333333,401201,Jingellic ,Upper Murray River Basin
2022-10-16,3.443208333333333,401201,Jingellic ,Upper Murray River Basin
2022-10-17,3.064541666666667,401201,Jingellic ,Upper Murray River Basin
2022-10-18,2.7874583333333334,401201,Jingellic ,Upper Murray River Basin
2022-10-19,2.7061666666666664,401201,Jingellic ,Upper Murray River Basin
2022-10-20,2.6178333333333335,401201,Jingellic ,Upper Murray River Basin
2022-10-21,2.5897083333333333,401201,Jingellic ,Upper Murray River Basin
2022-10-22,2.890083333333333,401201,Jingellic ,Upper Murray River Basin
2022-10-23,3.4752500000000004,401201,Jingellic ,Upper Murray River Basin
2022-10-24,4.147333333333333,401201,Jingellic ,Upper Murray River Basin
2022-10-25,3.469666666666667,401201,Jingellic ,Upper Murray River Basin
2022-10-26,3.306875,401201,Jingellic ,Upper Murray River Basin
2022-10-27,3.3409166666666668,401201,Jingellic ,Upper Murray River Basin
2022-10-28,3.57925,401201,Jingellic ,Upper Murray River Basin
2022-10-29,3.7968333333333333,401201,Jingellic ,Upper Murray River Basin
2022-10-30,3.9427083333333335,401201,Jingellic ,Upper Murray River Basin
2022-10-31,3.937958333333333,401201,Jingellic ,Upper Murray River Basin
2022-11-01,5.096291666666667,401201,Jingellic ,Upper Murray River Basin
2022-11-02,6.607291666666666,401201,Jingellic ,Upper Murray River Basin
2022-11-03,5.605333333333333,401201,Jingellic ,Upper Murray River Basin
2022-11-04,4.863875,401201,Jingellic ,Upper Murray River Basin
2022-11-05,4.423,401201,Jingellic ,Upper Murray River Basin
2022-11-06,4.079083333333333,401201,Jingellic ,Upper Murray River Basin
2022-11-07,3.839166666666667,401201,Jingellic ,Upper Murray River Basin
2022-11-08,3.6752083333333334,401201,Jingellic ,Upper Murray River Basin
2022-11-09,3.6152916666666663,401201,Jingellic ,Upper Murray River Basin
2022-11-10,3.5199166666666666,401201,Jingellic ,Upper Murray River Basin
2022-11-11,3.4130416666666665,401201,Jingellic ,Upper Murray River Basin
2022-11-12,3.3340833333333335,401201,Jingellic ,Upper Murray River Basin
2022-11-13,3.40925,401201,Jingellic ,Upper Murray River Basin
2022-11-14,4.110041666666667,401201,Jingellic ,Upper Murray River Basin
2022-11-15,5.556583333333333,401201,Jingellic ,Upper Murray River Basin
2022-11-16,4.825083333333334,401201,Jingellic ,Upper Murray River Basin
2022-11-17,4.184458333333334,401201,Jingellic ,Upper Murray River Basin
2022-11-18,3.89,401201,Jingellic ,Upper Murray River Basin
2022-11-19,3.562333333333333,401201,Jingellic ,Upper Murray River Basin
2022-11-20,3.2580000000000005,401201,Jingellic ,Upper Murray River Basin
2022-11-21,3.4497916666666666,401201,Jingellic ,Upper Murray River Basin
2022-11-22,3.56325,401201,Jingellic ,Upper Murray River Basin
2022-11-23,3.388541666666667,401201,Jingellic ,Upper Murray River Basin
2022-11-24,3.3204999999999996,401201,Jingellic ,Upper Murray River Basin
2022-11-25,3.4249166666666664,401201,Jingellic ,Upper Murray River Basin
2022-11-26,3.2993333333333332,401201,Jingellic ,Upper Murray River Basin
2022-11-27,3.1061666666666667,401201,Jingellic ,Upper Murray River Basin
2022-11-28,2.927208333333333,401201,Jingellic ,Upper Murray River Basin
2022-11-29,2.8660416666666664,401201,Jingellic ,Upper Murray River Basin
2022-11-30,2.9516666666666667,401201,Jingellic ,Upper Murray River Basin
2022-12-01,2.7466666666666666,401201,Jingellic ,Upper Murray River Basin
2022-12-02,2.579708333333333,401201,Jingellic ,Upper Murray River Basin
2022-12-03,2.532625,401201,Jingellic ,Upper Murray River Basin
2022-12-04,2.510708333333333,401201,Jingellic ,Upper Murray River Basin
2022-12-05,2.5439583333333333,401201,Jingellic ,Upper Murray River Basin
2022-12-06,2.5070416666666664,401201,Jingellic ,Upper Murray River Basin
2022-12-07,2.4564583333333334,401201,Jingellic ,Upper Murray River Basin
2022-12-08,2.2107083333333333,401201,Jingellic ,Upper Murray River Basin
2022-12-09,2.1123333333333334,401201,Jingellic ,Upper Murray River Basin
2022-12-10,2.0560833333333335,401201,Jingellic ,Upper Murray River Basin
2022-12-11,2.0281249999999997,401201,Jingellic ,Upper Murray River Basin
2022-12-12,2.173375,401201,Jingellic ,Upper Murray River Basin
2022-12-13,2.5647083333333334,401201,Jingellic ,Upper Murray River Basin
2022-12-14,2.4313333333333333,401201,Jingellic ,Upper Murray River Basin
2022-12-15,2.3087916666666666,401201,Jingellic ,Upper Murray River Basin
2022-12-16,2.51675,401201,Jingellic ,Upper Murray River Basin
2022-12-17,2.5048749999999997,401201,Jingellic ,Upper Murray River Basin
2022-12-18,2.1089166666666666,401201,Jingellic ,Upper Murray River Basin
2022-12-19,2.01075,401201,Jingellic ,Upper Murray River Basin
2022-12-20,2.1002083333333332,401201,Jingellic ,Upper Murray River Basin
2022-12-21,2.2223333333333333,401201,Jingellic ,Upper Murray River Basin
2022-12-22,2.231,401201,Jingellic ,Upper Murray River Basin
2022-12-23,2.206958333333333,401201,Jingellic ,Upper Murray River Basin
2022-12-24,2.0245416666666665,401201,Jingellic ,Upper Murray River Basin
2022-12-25,2.0232083333333333,401201,Jingellic ,Upper Murray River Basin
2022-12-26,2.0067083333333335,401201,Jingellic ,Upper Murray River Basin
2022-12-27,1.977,401201,Jingellic ,Upper Murray River Basin
2022-10-01,1.5164166666666665,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-02,1.4466666666666665,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-03,1.4003333333333332,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-04,1.368125,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-05,1.3736666666666668,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-06,1.6042500000000002,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-07,1.8401249999999998,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-08,1.7373333333333332,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-09,1.5942916666666667,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-10,1.4915,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-11,1.426,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-12,1.3925833333333333,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-13,1.6422083333333335,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-14,2.1689166666666666,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-15,1.8780416666666666,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-16,1.6862083333333333,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-17,1.5943333333333334,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-18,1.5095833333333333,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-19,1.4517083333333334,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-20,1.4090416666666667,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-21,1.41,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-22,1.633375,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-23,1.5663749999999999,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-24,1.4951666666666668,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-25,1.5283749999999998,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-26,1.5937916666666665,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-27,1.6352083333333332,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-28,1.8792499999999999,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-29,1.8339166666666669,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-30,1.6840416666666667,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-31,1.813,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-01,1.9995833333333335,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-02,1.8265,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-03,1.6941666666666668,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-04,1.5906666666666667,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-05,1.5134999999999998,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-06,1.449625,401203,Hinnomunjie ,Upper Murray River Basin
