X,Y,name,
144.5866029,-36.8266338,Knowsley
145.6486898,-36.0149996,Muckatah
145.4471175,-36.3985216,Orrvale
145.4623524,-36.3885211,Shepparton East
145.4444165,-36.3724912,Grahamvale
145.3953615,-36.4160585,Kialla
145.5320461,-36.3546213,Pine Lodge
144.9509454,-36.2502613,Tongala
144.8869458,-36.2205618,Koyuga
145.0701718,-36.4151355,Cooma
144.3344307,-36.6629455,Huntly
144.3263626,-36.7077539,Ascot
144.3122434,-36.7056551,Epsom
144.6404167,-37.0000867,Killara Park
144.777478,-36.3133551,Nanneella
144.6075429,-37.0402652,Nungarra
144.6215702,-37.0276307,Spring Plains
145.4022438,-36.3358108,Shepparton North
145.5596967,-36.17261,Marungi
145.583101,-36.1548319,Invergordon
145.6112133,-36.1466251,Invergordon North
145.6922423,-36.1572562,Youanmite
145.6888659,-36.2155613,Yabba North
145.4316473,-36.4508283,Central Kialla
